id,jurisdiction,state,region,county_or_city,document_type,topic,source_type,source_title,source_url,content,tags,last_verified_date,retrieval_weight,confidence
dc_permits_overview_001,District of Columbia,DC,DMV,Washington,permit_overview,building_permits,official_web,Permitting in the District of Columbia,https://dob.dc.gov/page/permitting-district-columbia,"The DC Department of Buildings regulates construction activity resulting in the issuance of construction permits. Core permit functions include receiving permit applications, reviewing construction documents for compliance with building codes and zoning regulations, inspecting construction activity and buildings, and rendering buildings safe for occupancy.",permits|building_permits|zoning_review|dc_dob,2026-04-09,1.0,high
dc_get_permit_001,District of Columbia,DC,DMV,Washington,permit_process,application_process,official_web,How to Get a Permit,https://dob.dc.gov/page/get-permit,"District users can find information about the permitting and plan review process, apply and pay for permits online, and use homeowner-centered resources through the DC Department of Buildings permit workflow.",permit_process|plan_review|apply_online|dc_dob,2026-04-09,0.95,high
dc_zoning_services_001,District of Columbia,DC,DMV,Washington,zoning_service,zoning_services,official_web,Zoning Services,https://dob.dc.gov/page/zoning-services,"The DC Department of Buildings provides zoning services online, including actions such as certificates of occupancy and home occupation permits. Zoning services are part of determining whether a building, structure, or land conforms to District zoning regulations.",zoning|certificate_of_occupancy|home_occupation|dc_dob,2026-04-09,0.95,high
dc_zoning_resources_001,District of Columbia,DC,DMV,Washington,zoning_resource,zoning_guidance,official_web,Zoning Resources,https://dob.dc.gov/page/zoning-resources,"The DC Department of Buildings publishes zoning resources such as sample zoning plans, Zoning Administrator interpretations, and guidance intended to support permitting and plan review.",zoning_resources|sample_plans|interpretations|dc_dob,2026-04-09,0.9,high
dc_dcoz_001,District of Columbia,DC,DMV,Washington,zoning_authority,zoning_commission_and_bza,official_web,DC Office of Zoning,https://dcoz.dc.gov/,"The DC Office of Zoning provides administrative, professional, and technical assistance to the Zoning Commission and the Board of Zoning Adjustment and offers processes such as requesting a certification of zoning online.",dcoz|bza|zoning_commission|certification_of_zoning,2026-04-09,0.9,high
moco_dps_home_001,Montgomery County,MD,DMV,Montgomery County,permit_overview,permit_categories,official_web,DPS Home Page - Department of Permitting Services,https://www.montgomerycountymd.gov/dps/,"Montgomery County Department of Permitting Services provides residential permits, commercial permits, electrical and mechanical permits, fire permits, code enforcement, inspections, zoning, and land use permits. DPS also publishes a permitting dashboard for turnaround times.",montgomery_county|permits|zoning|land_use_permits|dashboard,2026-04-09,1.0,high
moco_zoning_division_001,Montgomery County,MD,DMV,Montgomery County,zoning_authority,zoning_code_compliance,official_web,Zoning and Code Compliance Division,https://www.montgomerycountymd.gov/DPS/divisions/zoning/index.html,Montgomery County's Zoning and Code Compliance Division applies and enforces development standards under the Montgomery County Zoning Ordinance and M-NCPPC certified site plan requirements.,zoning_ordinance|development_standards|mncppc|code_compliance,2026-04-09,0.95,high
moco_zoning_confirmation_001,Montgomery County,MD,DMV,Montgomery County,zoning_confirmation,zoning_letter,official_web,Zoning Confirmation Letter Process,https://www.montgomerycountymd.gov/DPS/Process/zspe/zoning-confirmation.html,A zoning confirmation letter in Montgomery County identifies and describes the zone in which a property is located and may include permitted uses in the zone and pending or resolved zoning violations. It is commonly used for due diligence in financing or refinancing.,zoning_confirmation|permitted_uses|violations|due_diligence,2026-04-09,0.9,high
pg_dpie_overview_001,Prince George's County,MD,DMV,Prince George's County,permit_overview,permitting_inspections_enforcement,official_web,"Permitting, Inspections, & Enforcement - DPIE",https://www.princegeorgescountymd.gov/departments-offices/permitting-inspections-and-enforcement,"Prince George's County DPIE promotes economic development and protects public safety through permitting, inspection, and licensing services.",pg_county|dpie|permitting|inspection|licensing,2026-04-09,1.0,high
pg_permits_001,Prince George's County,MD,DMV,Prince George's County,permit_categories,permit_types,official_web,Permits,https://www.princegeorgescountymd.gov/departments-offices/permitting-inspections-and-enforcement/permits,"Prince George's County DPIE issues permits including residential building permits and other permit categories, and provides process information, walk-through permit process guidance, and permit-required FAQs.",residential_building|permit_types|walkthrough_process|pg_dpie,2026-04-09,0.95,high
pg_building_permits_001,Prince George's County,MD,DMV,Prince George's County,permit_application,building_permit_application,official_web,Building Permits,https://www.princegeorgescountymd.gov/departments-offices/permitting-inspections-and-enforcement/permits/building-permits,"Building permit applications in Prince George's County are completed online through the Momentum portal, where applicants enter the information directly into the County's permitting system.",building_permit|momentum_portal|apply_online|pg_dpie,2026-04-09,0.95,high
pg_zoning_enforcement_001,Prince George's County,MD,DMV,Prince George's County,zoning_authority,zoning_ordinance,official_web,Zoning Enforcement,https://www.princegeorgescountymd.gov/departments-offices/permitting-inspections-and-enforcement/code-enforcement/zoning-enforcement,Prince George's County states that the zoning ordinance regulates the use of land within various zoning categories and is used to control illegal land uses such as commercial activities in residential neighborhoods.,zoning_ordinance|land_use|enforcement|pg_county,2026-04-09,0.9,high
fairfax_lds_home_001,Fairfax County,VA,DMV,Fairfax County,permit_overview,land_development_services,official_web,Land Development Services,https://www.fairfaxcounty.gov/landdevelopment/,"Fairfax County Land Development Services uses the PLUS platform as the central system for land development-related applications, including permits, licenses, and records.",fairfax|lds|plus|permits|licenses|records,2026-04-09,1.0,high
fairfax_when_permit_required_001,Fairfax County,VA,DMV,Fairfax County,permit_required,permit_types,official_web,Does My Project Require a Permit?,https://www.fairfaxcounty.gov/landdevelopment/when-permit-required,"Fairfax County issues several types of permits for construction, including building permits, electrical permits, mechanical permits, plumbing permits, and land disturbance permits. Additional permits or approvals may be required depending on scope.",building_permit|trade_permits|land_disturbance|fairfax_lds,2026-04-09,0.95,high
fairfax_plan_permit_construct_001,Fairfax County,VA,DMV,Fairfax County,permit_process,plus_platform,official_web,"Planning, Permitting and Construction",https://www.fairfaxcounty.gov/plan2build/plan-permit-construct,"Customers can complete zoning, building, permitting, and other land development processes online through the PLUS portal, which supports application submission, payment, status tracking, and notifications.",plus_portal|apply_online|pay_fees|status_tracking|fairfax,2026-04-09,0.95,high
fairfax_permits_review_001,Fairfax County,VA,DMV,Fairfax County,permit_review,review_process,official_web,Permits and Review,https://www.fairfaxcounty.gov/plan2build/development-process-overview/4-review-process-and-permitting,"Fairfax County states that required permit type depends on the work planned, and permit categories include building permits, trade permits, and land disturbance permits among others.",review_process|permit_categories|land_development|fairfax,2026-04-09,0.9,high
fairfax_zoning_faq_001,Fairfax County,VA,DMV,Fairfax County,zoning_faq,zoning_requirements,official_web,Zoning Requirements - What Can I Do With My Property?,https://www.fairfaxcounty.gov/planning-development/zoning/faqs,Fairfax County provides zoning FAQ guidance for understanding what can be done with a property and directs users to Land Development Services for permit requirement questions.,zoning_faq|property_use|what_can_i_do|fairfax,2026-04-09,0.85,high
